"Treatment","Time","Material","Biological Rep","Technical Rep","Total CFU/coupon","Log CFU/coupon"
8,4,"B",2,2,609.756071484684,2.63464113554766
8,4,"B",3,1,0,2.44
8,4,"B",3,2,304.878035742342,2.44206306885783
8,4,"C",1,1,5823170.48267874,6.78471596439506
8,4,"C",1,2,9600000.21457674,6.99860580112349
8,4,"C",2,1,10876032.6041802,7.04477447701823
8,4,"C",2,2,25426137.8468614,7.39407834237139
8,4,"C",3,1,28551138.0291573,7.46305706238393
8,4,"C",3,2,41477275.1468355,7.59674172888492
8,4,"D",1,1,14010989.8690519,7.14000386856173
8,4,"D",1,2,9151990.14719649,6.87960359520658
8,4,"D",2,1,5457316.83978792,6.71929462531257
8,4,"D",2,2,2469512.08951297,6.40307811001214
8,4,"D",3,1,15659341.6183522,7.14757202672268
8,4,"D",3,2,9500000.21234154,6.98667940965044
8,4,"E",1,1,2469512.08951297,6.38991364065096
8,4,"E",1,2,3628048.62533388,6.59956763714446
8,4,"E",2,1,7317.07285781619,3.92680674773142
8,4,"E",2,2,1524.39017871171,2.83361113988367
8,4,"E",3,1,370738.657990551,5.57154958329637
8,4,"E",3,2,121500.002715737,5.08987282439028
