"sample","day","vaccine","fish","jaw","wt"
"3",246,"4","142","0",836
"4",505,"4","142","0",2250
"5",901,"4","142","0",6450
"1",0,"4","143","0",62
"2",82,"4","143","0",80
"3",246,"4","143","0",530
"4",505,"4","143","0",1230
"5",901,"4","143","0",4080
"1",0,"4","144","0",63
"2",82,"4","144","0",86
"3",246,"4","144","0",780
"4",505,"4","144","0",2110
"5",901,"4","144","0",5470
"1",0,"1","145","0",58
"2",82,"1","145","0",78
"3",246,"1","145","0",698
"4",505,"1","145","0",1430
"5",901,"1","145","0",4210
"1",0,"3","146","0",80
"2",82,"3","146","0",102
"3",246,"3","146","0",830
"4",505,"3","146","0",2260
"5",901,"3","146","0",6160
"1",0,"2","147","0",67
"2",82,"2","147","0",84
"3",246,"2","147","0",668
"4",505,"2","147","0",2000
"5",901,"2","147","0",6310
"1",0,"2","148","0",56
"2",82,"2","148","0",86
"3",246,"2","148","0",714
"4",505,"2","148","0",2010
"5",901,"2","148","0",7420
"1",0,"4","149","0",90
"2",82,"4","149","0",113
"3",246,"4","149","0",998
"4",505,"4","149","0",3980
"5",901,"4","149","0",5880
"1",0,"3","150","0",72
"2",82,"3","150","0",90
"3",246,"3","150","0",684
"4",505,"3","150","0",2080
"5",901,"3","150","0",7110
"1",0,"4","151","1",49
"2",82,"4","151","1",67
"3",246,"4","151","1",628
"4",505,"4","151","1",1060
"5",901,"4","151","1",3350
"1",0,"3","152","0",43
"2",82,"3","152","0",51
"3",246,"3","152","0",428
"4",505,"3","152","0",1270
"5",901,"3","152","0",4390
"1",0,"1","153","0",54
"2",82,"1","153","0",71
"3",246,"1","153","0",606
"4",505,"1","153","0",1830
"5",901,"1","153","0",6280
"1",0,"4","154","1",58
"2",82,"4","154","1",75
"3",246,"4","154","1",604
"4",505,"4","154","1",2000
"5",901,"4","154","1",4730
"1",0,"4","155","0",52
"2",82,"4","155","0",64
"3",246,"4","155","0",564
"4",505,"4","155","0",1780
"5",901,"4","155","0",6010
"1",0,"1","156","0",71
"2",82,"1","156","0",111
"3",246,"1","156","0",768
"4",505,"1","156","0",1460
"5",901,"1","156","0",6090
"1",0,"2","157","0",63
"2",82,"2","157","0",84
"3",246,"2","157","0",798
"4",505,"2","157","0",2230
"5",901,"2","157","0",3950
"1",0,"1","158","0",46
"2",82,"1","158","0",65
"3",246,"1","158","0",648
"4",505,"1","158","0",1390
"5",901,"1","158","0",6630
"1",0,"3","159","0",91
"2",82,"3","159","0",111
"3",246,"3","159","0",856
"4",505,"3","159","0",2680
"5",901,"3","159","0",6940
"1",0,"2","160","1",50
"2",82,"2","160","1",61
"3",246,"2","160","1",690
"4",505,"2","160","1",1620
"5",901,"2","160","1",5300
"1",0,"4","161","0",70
"2",82,"4","161","0",98
"3",246,"4","161","0",728
"4",505,"4","161","0",2360
"5",901,"4","161","0",5840
"1",0,"2","162","0",43
"2",82,"2","162","0",66
"3",246,"2","162","0",592
"4",505,"2","162","0",1890
"5",901,"2","162","0",6570
"1",0,"1","163","0",52
"2",82,"1","163","0",78
"3",246,"1","163","0",750
"4",505,"1","163","0",1980
"5",901,"1","163","0",5770
"1",0,"2","164","0",46
"2",82,"2","164","0",64
"3",246,"2","164","0",620
"4",505,"2","164","0",1840
"5",901,"2","164","0",6800
"1",0,"3","165","0",83
"2",82,"3","165","0",111
"3",246,"3","165","0",890
"4",505,"3","165","0",2270
"5",901,"3","165","0",5800
"1",0,"1","166","1",62
"2",82,"1","166","1",79
"3",246,"1","166","1",684
"4",505,"1","166","1",1940
"5",901,"1","166","1",5610
"1",0,"4","167","0",49
"2",82,"4","167","0",62
"3",246,"4","167","0",520
"4",505,"4","167","0",1410
"5",901,"4","167","0",5060
"1",0,"3","168","0",68
"2",82,"3","168","0",92
"3",246,"3","168","0",835
"4",505,"3","168","0",2480
"5",901,"3","168","0",6950
"1",0,"2","169","0",60
"2",82,"2","169","0",81
"3",246,"2","169","0",582
"4",505,"2","169","0",1730
"5",901,"2","169","0",4980
"1",0,"2","170","1",58
"2",82,"2","170","1",83
"3",246,"2","170","1",600
"4",505,"2","170","1",2080
"5",901,"2","170","1",6280
"1",0,"3","171","1",68
"2",82,"3","171","1",85
"3",246,"3","171","1",538
"4",505,"3","171","1",1850
"5",901,"3","171","1",4380
"1",0,"3","172","0",42
"2",82,"3","172","0",56
"3",246,"3","172","0",648
"4",505,"3","172","0",1390
"5",901,"3","172","0",3940
"1",0,"2","173","0",49
"2",82,"2","173","0",69
"3",246,"2","173","0",420
"4",505,"2","173","0",920
"5",901,"2","173","0",3910
"1",0,"3","174","0",73
"2",82,"3","174","0",100
"3",246,"3","174","0",656
"4",505,"3","174","0",1690
"5",901,"3","174","0",5520
"1",0,"2","175","0",63
"2",82,"2","175","0",80
"3",246,"2","175","0",565
"4",505,"2","175","0",1160
"5",901,"2","175","0",4730
"1",0,"4","176","0",55
"2",82,"4","176","0",71
"3",246,"4","176","0",542
"4",505,"4","176","0",1300
"5",901,"4","176","0",4160
"1",0,"4","177","0",69
"2",82,"4","177","0",82
"3",246,"4","177","0",688
"4",505,"4","177","0",2180
"5",901,"4","177","0",6700
"1",0,"4","178","0",59
"2",82,"4","178","0",79
"3",246,"4","178","0",770
"4",505,"4","178","0",2240
"5",901,"4","178","0",8260
"1",0,"4","179","0",54
"2",82,"4","179","0",68
"3",246,"4","179","0",580
"4",505,"4","179","0",1500
"5",901,"4","179","0",4250
"1",0,"3","180","0",65
"2",82,"3","180","0",89
"3",246,"3","180","0",705
"4",505,"3","180","0",2480
